,transfer_n,replicate,strategy,phenotype,fraction,contaminated,exclude,infected_by_strains,infected_by_wells,infection_to_well,infection_to_well_id,pheno_num,pheno_str,plate,received_transfer_strain,rep,count,rwell,tip,transfer_from_well_id,transfer_to_well,transfer_to_well_id,treatment_with,turnover_id,turnover_strain,turnover_strain_real,well
863,11,0.0,No treatment,A_r,34.375,33,33,11,11,8,10,33,33,33,29,33,33,33,33,29,29,27,33,4,4,4,33
864,11,0.0,No treatment,B_r,9.375,9,9,0,0,1,5,9,9,9,9,9,9,9,9,9,9,7,9,0,0,0,9
865,11,0.0,No treatment,UI,7.291666666666667,7,7,1,1,1,1,7,7,7,3,7,7,7,7,3,3,3,7,4,4,4,7
866,11,0.0,No treatment,WT,42.70833333333333,41,41,6,6,12,15,41,41,41,25,41,41,41,41,25,25,31,41,16,16,16,41
867,11,1.0,Combo,UI,100.0,96,96,21,21,23,33,96,96,96,70,96,96,96,96,70,70,72,96,26,26,26,96
868,11,1.0,Cycling,B_r,3.125,3,3,1,1,0,1,3,3,3,1,3,3,3,3,1,1,0,3,2,2,2,3
869,11,1.0,Cycling,UI,96.875,93,93,20,20,23,32,93,93,93,69,93,93,93,93,69,69,72,93,24,24,24,93
870,11,1.0,Mixing,A_r,1.0416666666666665,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1
871,11,1.0,Mixing,B_r,5.208333333333334,5,5,3,3,1,2,5,5,5,4,5,5,5,5,4,4,4,5,1,1,1,5
872,11,1.0,Mixing,Fishy,1.0416666666666665,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
873,11,1.0,Mixing,UI,92.70833333333334,89,89,17,17,22,31,89,89,89,65,89,89,89,89,65,65,66,89,24,24,24,89
874,11,1.0,Mono A,A_r,37.5,36,36,13,13,7,10,36,36,36,32,36,36,36,36,32,32,30,36,4,4,4,36
875,11,1.0,Mono A,UI,62.5,60,60,8,8,16,23,60,60,60,38,60,60,60,60,38,38,42,60,22,22,22,60
876,11,1.0,Mono B,B_r,22.916666666666664,22,22,7,7,3,8,22,22,22,20,22,22,22,22,20,20,17,22,2,2,2,22
877,11,1.0,Mono B,UI,77.08333333333334,74,74,14,14,20,25,74,74,74,50,74,74,74,74,50,50,55,74,24,24,24,74
878,11,1.0,No treatment,A&B,1.0416666666666665,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
879,11,1.0,No treatment,AB_r,4.166666666666666,4,4,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,4
880,11,1.0,No treatment,A_r,30.208333333333332,29,29,11,11,6,11,29,29,29,24,29,29,29,29,24,24,23,29,5,5,5,29
881,11,1.0,No treatment,B_r,10.416666666666668,10,10,2,2,1,5,10,10,10,9,10,10,10,10,9,9,7,10,1,1,1,10
882,11,1.0,No treatment,UI,7.291666666666667,7,7,1,1,1,1,7,7,7,3,7,7,7,7,3,3,3,7,4,4,4,7
883,11,1.0,No treatment,WT,46.875,45,45,6,6,14,15,45,45,45,29,45,45,45,45,29,29,34,45,16,16,16,45
884,11,2.0,Combo,AB_r,1.0416666666666665,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1
885,11,2.0,Combo,UI,98.95833333333334,95,95,21,21,23,33,95,95,95,70,95,95,95,95,70,70,72,95,25,25,25,95
886,11,2.0,Cycling,B_r,2.083333333333333,2,2,1,1,0,0,2,2,2,0,2,2,2,2,0,0,0,2,2,2,2,2
887,11,2.0,Cycling,UI,97.91666666666666,94,94,20,20,23,33,94,94,94,70,94,94,94,94,70,70,72,94,24,24,24,94
888,11,2.0,Mixing,A_r,1.0416666666666665,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1
889,11,2.0,Mixing,B_r,4.166666666666666,4,4,3,3,0,1,4,4,4,3,4,4,4,4,3,3,3,4,1,1,1,4
890,11,2.0,Mixing,UI,94.79166666666666,91,91,17,17,23,32,91,91,91,67,91,91,91,91,67,67,68,91,24,24,24,91
891,11,2.0,Mono A,A_r,29.166666666666668,28,28,9,9,7,9,28,28,28,24,28,28,28,28,24,24,23,28,4,4,4,28
892,11,2.0,Mono A,UI,70.83333333333334,68,68,12,12,16,24,68,68,68,46,68,68,68,68,46,46,49,68,22,22,22,68
893,11,2.0,Mono B,AB_r,1.0416666666666665,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1
894,11,2.0,Mono B,B_r,19.791666666666664,19,19,4,4,4,7,19,19,19,18,19,19,19,19,18,18,15,19,1,1,1,19
895,11,2.0,Mono B,UI,79.16666666666666,76,76,16,16,19,26,76,76,76,52,76,76,76,76,52,52,57,76,24,24,24,76
896,11,2.0,No treatment,AB_r,4.166666666666666,4,4,2,2,1,1,4,4,4,3,4,4,4,4,3,3,3,4,1,1,1,4
