ID,plate,well,row,col,tip,rep,rwell,transfer_n,turnover_strain,treatment_with,turnover_id,infection_to_well,infection_to_well_id,transfer_from_well_id,transfer_to_well_id,exclude,pheno_str,pheno_num,phenotype,strategy
t0_P1_E13,1,109,E,13,3,0,31,0,B_r,none,t0_S_G13,,,,,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_E14,1,110,E,14,3,2,31,0,B_r,none,t0_S_G14,,,,,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_F13,1,133,F,13,3,1,31,0,B_r,none,t0_S_H13,,,,,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_F14,1,134,F,14,3,3,31,0,B_r,none,t0_S_H14,,,,,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_E15,1,111,E,15,3,0,32,0,B_r,none,t0_S_G13,82.0,t1_P1_M19,,t1_P1_E15,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_E16,1,112,E,16,3,2,32,0,B_r,none,t0_S_G14,82.0,t1_P1_M20,,t1_P1_E16,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_F15,1,135,F,15,3,1,32,0,B_r,none,t0_S_H13,82.0,t1_P1_N19,,t1_P1_F15,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_F16,1,136,F,16,3,3,32,0,B_r,none,t0_S_H14,82.0,t1_P1_N20,,t1_P1_F16,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_E17,1,113,E,17,3,0,33,0,A_r,none,t0_S_G9,2.0,t1_P1_A3,,t1_P1_E17,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_E18,1,114,E,18,3,2,33,0,A_r,none,t0_S_G10,2.0,t1_P1_A4,,t1_P1_E18,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_F17,1,137,F,17,3,1,33,0,A_r,none,t0_S_H9,2.0,t1_P1_B3,,t1_P1_F17,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_F18,1,138,F,18,3,3,33,0,A_r,none,t0_S_H10,2.0,t1_P1_B4,,t1_P1_F18,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_E19,1,115,E,19,3,0,34,0,A_r,none,t0_S_G9,,,,t1_P1_E19,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_E20,1,116,E,20,3,2,34,0,A_r,none,t0_S_G10,,,,t1_P1_E20,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_F19,1,139,F,19,3,1,34,0,A_r,none,t0_S_H9,,,,t1_P1_F19,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_F20,1,140,F,20,3,3,34,0,A_r,none,t0_S_H10,,,,t1_P1_F20,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_E21,1,117,E,21,3,0,35,0,A_r,none,t0_S_G9,46.0,t1_P1_G19,,,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_E22,1,118,E,22,3,2,35,0,A_r,none,t0_S_G10,46.0,t1_P1_G20,,,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_F21,1,141,F,21,3,1,35,0,A_r,none,t0_S_H9,46.0,t1_P1_H19,,,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_F22,1,142,F,22,3,3,35,0,A_r,none,t0_S_H10,46.0,t1_P1_H20,,,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_E23,1,119,E,23,3,0,36,0,A_r,none,t0_S_G9,,,,,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_E24,1,120,E,24,3,2,36,0,A_r,none,t0_S_G10,,,,,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_F23,1,143,F,23,3,1,36,0,A_r,none,t0_S_H9,,,,,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_F24,1,144,F,24,3,3,36,0,A_r,none,t0_S_H10,,,,,,['0' '1' '0' '1'],5,A_r,No treatment
